UqID,ID,Region,Location,Contract Type,Property Type,Years,Bedrooms,Bathrooms,Land Size (SQM),Build Size (SQM),FSR,Price IDR,Price ($),Price/SQM ($),Price/Year ($),Availability,Sold Date,Scrape Date,Days listed,Off plan
143,V021-3153,North Badung,Kerobokan,Freehold,Villa,,2,2,150,,,1899000000,125515,,,Sold,Jul/23,Feb/23,150,Available
144,V011-0436,Central Badung,Seminyak,Freehold,Villa,,2,3,200,,,3150000000,208200,,,Sold,Feb/23,Feb/23,,Available
145,V001-2168,North Badung,Umalas,Freehold,Villa,,2,2,200,,,3250000000,214810,,,Sold,Mar/23,Feb/23,28,Available
146,LAZ112629,Tabanan,Kedungu,Freehold,Villa,,2,2,123,,,3800000000,251162,,,Sold,Aug/23,Feb/23,,Off Plan
147,,Tabanan,Other Tabanan,Freehold,Villa,,2,2,,,,4121733000,272428,,,Available,,Feb/23,,Available
148,V010-1685,Central Badung,Seminyak,Freehold,Villa,,2,3,230,,,4400000000,290820,,,Sold,Jun/23,Feb/23,120,Available
149,,Tabanan,Other Tabanan,Freehold,Villa,,2,2,,,,4438665000,293375,,,Available,,Feb/23,,Available
150,V005-3457,North Badung,Canggu,Freehold,Villa,,2,2,373,,,6500000000,429620,,,Sold,May/23,Feb/23,89,Available
151,V005-0598,North Badung,Canggu,Freehold,Villa,,2,2,372,,,6500000000,429620,,,Sold,Feb/23,Feb/23,,Available
152,LAZ99787,South Badung,Uluwatu,Freehold,Villa,,2,2,104,,,1790000000,117203,,,Sold,Sep/23,Mar/23,184,Off Plan
153,V002-2027,North Badung,Padonan,Freehold,Villa,,2,2,100,,,1900000000,124406,,,Sold,Feb/23,Mar/23,,Available
154,V006-2626,North Badung,Kerobokan,Freehold,Villa,,2,2,300,,,2300000000,150596,,,Sold,Mar/23,Mar/23,,Available
155,LAZ99791,South Badung,Uluwatu,Freehold,Villa,,2,2,151,,,2990000000,195775,,,Sold,Sep/23,Mar/23,184,Off Plan
156,V004-0243,North Badung,Berawa,Freehold,Villa,,2,2,160,,,3600000000,235716,,,Sold,Jun/23,Mar/23,92,Available
157,V015-3075,Tabanan,Other Tabanan,Freehold,Villa,,2,2,112,,,3780000000,247502,,,Available,,Mar/23,,Available
158,V001-0495,North Badung,Umalas,Freehold,Villa,,2,2,250,,,4000000000,261907,,,Sold,Jan/23,Mar/23,,Available
159,VCA300F,North Badung,Berawa,Freehold,Villa,,2,3,280,,,4306878571,282000,,,Sold,Feb/23,Mar/23,,Available
160,V005-0597,North Badung,Canggu,Freehold,Villa,,2,2,373,,,6500000000,425598,,,Sold,Feb/23,Mar/23,,Available
161,V009-0483,Mengwi,Pererenan,Freehold,Villa,,2,3,650,,,15862500000,1038623,,,Sold,May/23,Mar/23,61,Available
