DATE,REGION,LOCATION,TYPE,MGMT,BEDS,COUNT,OCCUPANCY,RATE IDR,RATE USD,MONTHLY IDR,MONTHLY USD,TOTAL REVENUE
Mar/23,South Badung,Jimbaran,Villa,Professional,4,19,37.6%,"Rp6,800,579",$454,"Rp68,430,785","$4,565","$73,042"
Jul/23,Non Bali,Lombok,Villa,Individual ,5,,54.8%,"Rp8,809,642",$584,"Rp157,315,007","$10,435","$73,048"
Jul/23,North Badung,Kerobokan,Apartment,Individual ,1,60,64.4%,"Rp1,362,250",$90,"Rp1,362,250",$90,"$73,105"
Oct/24,Denpasar,Denpasar,Villa,Professional,3,25,53.6%,"Rp4,516,511",$288,"Rp45,887,747","$2,925","$73,116"
Jul/22,Central Badung,Kuta,Villa,Individual ,2,59,49.1%,"Rp1,560,354",$105,"Rp21,688,921","$1,463","$73,125"
Sep/22,North Badung,Canggu,Guest House,Individual ,2,,57.0%,"Rp1,316,494",$86,"Rp19,202,631","$1,261","$73,153"
Nov/22,Other,Candidasa,Villa,Professional,4,,79.0%,"Rp9,670,851",$615,"Rp115,083,123","$7,316","$73,162"
Sep/23,Other,Lovina,Villa,Individual ,3,,49.8%,"Rp1,877,786",$122,"Rp26,288,942","$1,702","$73,167"
Oct/25,Other,Nusa Penida,Villa,Individual ,2,42,40.8%,"Rp2,530,220",$152,"Rp32,892,884","$1,978","$73,183"
Apr/23,Tabanan,Tabanan,Villa,Professional,4,5,67.1%,"Rp11,420,778",$779,"Rp214,710,626","$14,641","$73,205"
Feb/23,North Badung,Kerobokan,Villa,Professional,2,29,66.5%,"Rp3,434,002",$225,"Rp44,642,027","$2,928","$73,208"
May/23,Mengwi,Mengwi,Guest House,Individual ,1,,48.1%,"Rp531,038",$35,"Rp7,345,044",$490,"$73,212"
Dec/23,Central Badung,Kuta,Villa,Individual ,6,17,73.3%,"Rp3,758,591",$244,"Rp56,378,888","$3,662","$73,273"
Jan/24,Tabanan,Tabanan,Villa,Professional,5,8,45.6%,"Rp14,098,033",$894,"Rp165,148,457","$10,469","$73,283"
Jun/22,North Badung,Padonan,Apartment,Individual ,2,46,70.8%,"Rp1,577,407",$106,"Rp26,623,533","$1,787","$73,284"
Dec/22,South Badung,Jimbaran,Apartment,Individual ,3,15,82.8%,"Rp5,047,384",$324,"Rp76,047,197","$4,886","$73,287"
Jul/25,North Badung,Padonan,Guest House,Individual ,2,63,46.4%,"Rp1,704,154",$105,"Rp22,539,908","$1,383","$73,294"
Feb/24,Gianyar,Ubud,Apartment,Individual ,1,114,60.2%,"Rp792,846",$50,"Rp10,292,793",$655,"$73,380"
